AmountOfPlay,AuthorID,Collection,Comment,CreationDate,Forwarding,Labels,NumberOfSongs,SongListName,SongsListID,Url
10725843,7883242184,24246,944,2022-06-14,803,华语 流行 清晨 ,180,华语流行：温柔的风吹皱了晚霞的心,7487760322,https://music.163.com/playlist?id=7487760322
816436,107742044,5551,11,2023-10-31,36,华语 流行 综艺 ,166,华语顶级女嗓live：张碧晨 单依纯 郁可唯,8833238437,https://music.163.com/playlist?id=8833238437
139585,566469951,942,5,2022-07-06,17,伤感 ,249,痛苦留下痕迹夜晚总会深陷梦魇,7523466442,https://music.163.com/playlist?id=7523466442
24031,312585551,117,评论,2024-03-01,0,华语 流行 90后 ,115,华语 | 90后那些年MP3里的经典老歌,9368161042,https://music.163.com/playlist?id=9368161042
39058,516122350,140,60,2024-04-16,3,欧美 说唱 钢琴 ,106,说唱与钢琴|风格碰撞下的完美融合,9809258634,https://music.163.com/playlist?id=9809258634
2235480,1382159539,21703,71,2021-11-15,422,欧美 说唱 ,145,国外·Melody|【旋律说唱】耳膜兴奋剂,7070573082,https://music.163.com/playlist?id=7070573082
664584,7883293786,7140,28,2023-06-05,231,欧美 R&B/Soul 治愈 ,80,R&B·沉沦于蓝色梦乡 慵懒吐出夕阳,8457651555,https://music.163.com/playlist?id=8457651555
1338,107742044,7,评论,2024-05-10,0,华语 流行 90后 ,67,90后非主流：许嵩徐良汪苏泷本兮阿悄,10035541164,https://music.163.com/playlist?id=10035541164
26664,312585551,141,1,2024-03-10,1,华语 流行 90后 ,98,80，90后经典老歌 | 回味经典 重温旧梦,9404695513,https://music.163.com/playlist?id=9404695513
1712,349808402,15,评论,2024-05-08,2,欧美 兴奋 运动 ,199,『健身必备』有氧运动跑步歌单,10028177497,https://music.163.com/playlist?id=10028177497
252007,3251004224,6053,56,2022-11-15,73,轻音乐 浪漫 散步 ,127,伤痛为引的羁绊是我们之间的唯一连接,7748601828,https://music.163.com/playlist?id=7748601828
1776935,97515301,24892,55,2022-05-26,382,欧美 R&B/Soul 流行 ,217,卧室音乐丨一个人时的闲暇氛围感,7455388226,https://music.163.com/playlist?id=7455388226
641180,74440381,6948,28,2020-10-10,88,轻音乐 下午茶 浪漫 ,142,纯音乐·慵懒｜午后氛围咖啡馆,5281983103,https://music.163.com/playlist?id=5281983103
924952,97515301,12364,25,2023-05-08,180,欧美 夜晚 R&B/Soul ,73,缱绻R&B｜想在每个朦胧的夜幕下拥抱你,8406015094,https://music.163.com/playlist?id=8406015094
6269974,3246733486,34467,443,2021-01-16,1633,华语 流行 翻唱 ,232,听完这些歌，就该放下你了,5468446697,https://music.163.com/playlist?id=5468446697
257404,107742044,1544,5,2024-03-18,11,华语 流行 综艺 ,109,单依纯 周深 张碧晨 徐佳莹,9475063393,https://music.163.com/playlist?id=9475063393
11725,516122350,297,7,2024-04-13,10,欧美 流行 ,22,2024年科切拉音乐节打雷姐演唱曲目,9778054395,https://music.163.com/playlist?id=9778054395
1079947,107742044,4589,14,2023-11-07,35,华语 治愈 流行 ,147,人间温柔：单依纯毛不易周深,8848011567,https://music.163.com/playlist?id=8848011567
1174443,107742044,5928,11,2023-11-24,45,华语 流行 治愈 ,160,天花板治愈嗓：单依纯 | 毛不易 | 周深,8879854870,https://music.163.com/playlist?id=8879854870
5038093,1162612,71637,1502,2023-05-25,7922,华语 流行 ,39,5525 五月天｜回到那一天｜巡回演唱会 ,8436434272,https://music.163.com/playlist?id=8436434272
606823,342371680,9881,11,2023-10-23,111,R&B/Soul 流行 欧美 ,149,浪漫R&B｜微醺浸染 或丝般柔顺 或梦般性感,8817049067,https://music.163.com/playlist?id=8817049067
666,107742044,4,评论,2024-04-17,0,华语 流行 综艺 ,80,天赐女神嗓：单依纯 张碧晨 郁可唯 刘惜君,9822762711,https://music.163.com/playlist?id=9822762711
2193910,290894929,10300,45,2023-11-24,105,华语 怀旧 90后 ,115,90后回忆杀 | 回头看 輕舟已過萬重山,8879882077,https://music.163.com/playlist?id=8879882077
985,2118682115,8,评论,2024-04-30,0,华语 酒吧 兴奋 ,60,一听上瘾丨适合循环播放DJ中文歌曲,9947224772,https://music.163.com/playlist?id=9947224772
315523,107742044,1998,3,2024-01-21,9,华语 流行 综艺 ,121,顶级音综：全场听了都沦陷！,9179881415,https://music.163.com/playlist?id=9179881415
31717,312585551,202,4,2024-03-05,0,电子 性感 驾车 ,115,车载DJ | 踩着节奏，嗨到天亮,9381362009,https://music.163.com/playlist?id=9381362009
8573149,1452890391,109446,814,2021-01-14,2016,欧美 流行 清晨 ,161,「化妆/洗澡」女孩子当然是草莓味的!,5465168735,https://music.163.com/playlist?id=5465168735
78051,67092544,737,9,2023-06-10,13,欧美 流行 快乐 ,121,『欧美|甜歌』轻拾日光，听风声缱绻,8472533302,https://music.163.com/playlist?id=8472533302
777180,1289346856,9603,74,2023-08-17,163,欧美 放松 治愈 ,205,灵魂松弛剂：放空思绪 远离喧嚣 坠入云间,8665909492,https://music.163.com/playlist?id=8665909492
333360,614517058,6529,28,2022-07-03,51,日语 流行 治愈 ,87,超棒的日系组合｜夜鹿 YOASOBI 真夜中,7519341475,https://music.163.com/playlist?id=7519341475
868,107742044,10,评论,2024-04-13,0,华语 流行 综艺 ,80,神仙华语live：教科书级别的舞台,9772659855,https://music.163.com/playlist?id=9772659855
133663,477774868,2284,16,2024-01-13,28,流行 伤感 安静 ,91,不会捏蓝（永劫无间）bgm收录【超甜版】,9141222498,https://music.163.com/playlist?id=9141222498
167788,1289346856,1485,34,2024-05-11,15,放松 清新 另类/独立 ,56,Summer清凉感 ｜坠入薄荷曼波夏日水波,10038825882,https://music.163.com/playlist?id=10038825882
62616,341372274,251,评论,2024-03-16,1,华语 流行 网络歌曲 ,131,也许失去的正是不该拥有的,9452958171,https://music.163.com/playlist?id=9452958171
50300356,118987580,777685,1738,2017-12-10,8788,欧美 流行 浪漫 ,103,无前奏丨欧美女声丨三秒爱上,2008935342,https://music.163.com/playlist?id=2008935342
724667,1289346856,12211,42,2022-12-17,168,R&B/Soul 蓝调 爵士 ,122,微醺特调｜有酒有音乐 爵士蓝调 浪漫Jazz,7824689649,https://music.163.com/playlist?id=7824689649
2749,2118682115,14,评论,2024-05-06,0,华语 KTV 流行 ,48,华语丨80/90后经典老歌 KTV必点歌曲,10004452989,https://music.163.com/playlist?id=10004452989
569878,7883224351,4724,20,2023-06-13,71,欧美 兴奋 快乐 ,80,拯救早八 | 迅速提神醒脑,8480657327,https://music.163.com/playlist?id=8480657327
84049,1539702828,1085,4,2023-11-19,3,韩语 流行 ,88,kpop｜ 爱豆舞室银行打歌必备,8872185002,https://music.163.com/playlist?id=8872185002
1439,290894929,11,评论,2024-05-09,0,华语 怀旧 80后 ,83,8090后金曲歌单【一人一首成名曲】,10033255121,https://music.163.com/playlist?id=10033255121
1452940,107742044,8366,14,2024-01-03,51,华语 驾车 综艺 ,207,神级音综live：教科书级别的舞台！,9116115474,https://music.163.com/playlist?id=9116115474
58168,1872710435,1928,4,2024-03-22,343,清晨 欧美 ,79,英语｜精神咖啡注入一天满满活力,9504645772,https://music.163.com/playlist?id=9504645772
7004674,103780233,47339,457,2016-12-27,596,流行 R&B/Soul ,59,『R&B私藏』惊艳耳际，一听倾心,549789053,https://music.163.com/playlist?id=549789053
