欧美R&B入坑曲：封神旋律 是谁的一代青春##欧美 R&B/Soul 90后 ##10009377589##78
单依纯，周深，张杰，陈楚生，毛不易##华语 流行 综艺 ##9502641126##52
怀旧老歌 | 90后的经典 旧时光里的不老岁月##华语 90后 怀旧 ##10010658736##15
新式后摇 | 致敬旅行者号 最孤独的星际行者##摇滚 后摇 孤独 ##6806734716##2845
华语民谣 I 孤独的心诠释诗意和远方##华语 民谣 孤独 ##514947114##252947
乐器之王——钢琴 | 从古至今的指尖魅力##古典 钢琴 器乐 ##644943140##59041
『小酒馆』剑与魔法 · 旅途中的休憩时光##民谣 游戏 ACG ##800496969##324024
日系治愈｜想成为一个温柔的人##日语 治愈 ACG ##745510353##91347
『物哀纯音』漫天飞舞的红叶，暮色黄昏##轻音乐 伤感 ACG ##899361402##86882
Bossa Nova｜聆听热情桑巴中的慵懒时光##Bossa Nova 爵士 拉丁 ##2879306923##22206
纯音 | 静淌时隙悄然掠过 | 助眠##安静 轻音乐 器乐 ##132259437##35887
复古慵懒 | 当经典摇滚被爵士如此演绎##爵士 欧美 ##4974682089##26241
助眠辑 | 自然音，伴灵动乐符萦绕耳畔##轻音乐 放松 安静 ##2075587022##507288
想开家茶馆，放首民谣给从前##华语 民谣 治愈 ##919939187##161588
可爱摇滚｜一剂抵挡春困的上好良药##欧美 摇滚 快乐 ##6666112560##32954
倾吐隐秘情绪｜百位R&B歌手精选##欧美 R&B/Soul 夜晚 ##2936255937##72920
黑胶唱片机|微醺情调耳边低语##欧美 爵士 酒吧 ##2651898154##32091
空灵纯音 ' 孤独症患者的绮丽梦境##电子 夜晚 孤独 ##411796573##189292
钢琴独奏 | 当世界喧嚣时 宇宙依然宁静##轻音乐 钢琴 New Age ##5273305040##24591
「星轨旋律」揽下整个星空的纯音乐##轻音乐 安静 流行 ##995552555##405697
新古典集 I 三滴空明，庆赏无厌##钢琴 古典 器乐 ##579730540##88799
乐团世代丨台湾乐团编年史（1980-2021）##华语 摇滚 流行 ##6620660821##13534
City pop | 脱丧俱乐部里的复古蜜色##日语 怀旧 浪漫 ##2180830258##81497
国风民谣 |满堂花醉三千客，一剑霜寒十四州##华语 民谣 古风 ##2331136477##287616
日系治愈：无法抗拒的温柔男声##日语 治愈 ##2928393485##74930
乡村摇滚 I 一簇炽而不灼的篝火##欧美 乡村 摇滚 ##530916024##9744
不得了！这些英文歌的热评信息量好大……##欧美 放松 快乐 ##645384312##547677
「Jazz Hiphop纯音」被窝里的小咖啡馆##爵士 放松 轻音乐 ##1984018874##155355
古典音樂史上最優美的夜曲与小夜曲##古典 浪漫 思念 ##171967885##151479
中国戏剧最高奖–“梅花奖”##民族 经典 ##5482864472##6625
夜雀酒吧｜爵士与幻想乡少女的酒宴##轻音乐 爵士 ACG ##2252139184##70650
电影中的钢琴曲｜最会讲故事¹##钢琴 影视原声 ##461600464##118897
不需要过多的伴奏，清唱也是一种美##日语 钢琴 ACG ##959475356##189379
弦声摇曳&魅影婆娑——悲泣的提琴之魂##器乐 轻音乐 古典 ##514033019##112098
国产纯音集 | 八百位音乐人，一人一曲##电子 轻音乐 器乐 ##3222869790##37397
「Smooth Jazz」柔顺爵士，都市悠闲##爵士 放松 欧美 ##2283573424##54394
不会捏蓝（永劫无间）bgm收录【起飞版】##电子 欧美 游戏 ##9129274037##25685
日系jazz hiphop,鼓点里的浪漫气息##日语 说唱 安静 ##437360812##82121
唯美震撼：聆听地球自然的呼吸##欧美 影视原声 感动 ##480747275##51667
不期而遇丨indie音乐场景·「韩国乐队」##韩语 摇滚 另类/独立 ##757295465##8030
100位欧美90后歌手：他们把青春给了音乐##欧美 流行 90后 ##733122887##246406
日语冷门良曲发掘计划2【随缘更新中】##日语 流行 摇滚 ##8534742865##579
Bossa Nova惬意的下午茶时光##欧美 Bossa Nova 放松 ##2128071807##43281
【珍藏】必听的一百五十首音乐剧名曲##欧美 小语种 流行 ##404757132##374372
心驰神往，欧洲中古风格民谣##民谣 欧美 小语种 ##6185746##213073
浪漫星空物语☆空灵嗓音与星辰旋律##欧美 清新 夜晚 ##5062223334##58927
氛围后摇 | 被孤立的鲸 偶遇坠入海底的星##摇滚 孤独 电子 ##6852909267##2494
侠客行│江湖风起云涌，仗剑策马扬鞭##华语 影视原声 古风 ##5117602648##8191
【民谣盛宴】100首必听欧美民谣##欧美 民谣 乡村 ##311692545##611518
【日系纯音向】夏树眠 蝉在叫 人坏掉❤️##轻音乐 日语 ACG ##77629049##746018
电影中的绝美女声哼唱｜空灵震撼##影视原声 经典 感动 ##398102011##43073
【永劫无间】单排 练刀必备##电子 欧美 ##7758374374##10436
献给一个“你未邂逅一个女生”##日语 流行 ##4987442569##12249
给我一把弹不累的吉他##民谣 欧美 吉他 ##69571731##61656
旋律R&B / NeoSoul 60's微醺加点浪漫的味道##R&B/Soul 夜晚 欧美 ##8945244653##3862
倾听自然 · 海之遐想##轻音乐 夜晚 放松 ##819618896##433994
器乐纯音 | 独立音乐人的无言之声##器乐 另类/独立 摇滚 ##377539909##27954
节奏控 | 戴上耳机世界都是你的##流行 学习 90后 ##8780598793##8439
钢琴摇滚 I 浪子赠予诗人的一纸情书##摇滚 钢琴 流行 ##374687888##22396
日本人气唱见，每人一首良曲##日语 ACG 翻唱 ##94284266##842872
[Korea_Pop]男女团经典神曲合集都在此##韩语 舞曲 夜晚 ##2267420206##27008
当春风吹进民谣里【欧美篇】##欧美 民谣 另类/独立 ##53558869##25314
KPOP随舞 | 这谁能忍住不跟跳##韩语 流行 舞曲 ##8232491318##57129
【国人唱见】百首佳作，一人一曲演绎一段情##华语 浪漫 ##2478853012##97436
经典老歌，久听不厌##粤语 怀旧 华语 ##988690134##3305769
电影里的音乐人，胶片上的旧时光##欧美 影视原声 经典 ##2126200965##29076
【K-POP】韩系甜曲•优质旋律•蜜音茕绕##韩语 流行 清新 ##4994211959##34744
弦外有声——活力小提琴##古典 放松 器乐 ##739403485##42549
『国摇』一百支乐队一百种精神信仰##华语 摇滚 ##2179431622##325875
自由而热烈 | 你听，像不像一封辞职信？##流行 运动 旅行 ##8574410967##6257
日系精选总有一首触动你的心弦##日语 流行 放松 ##6657794439##11184
Funk舞厅 · 摇摆于复古派对##欧美 R&B/Soul 放松 ##6897410885##18652
 思考 INTJ 阅读 冷静｜适合独处时听的歌##学习 夜晚 孤独 ##8812326915##446
浪漫微醺R&B | 温柔令人沉醉##R&B/Soul 浪漫 放松 ##9116903850##2094
甜到爆炸RAP | 心跳双倍加速器##华语 流行 说唱 ##8280597525##7753
高级感chill｜慵懒放松 卧室暧昧氛围##欧美 夜晚 放松 ##8413001593##28194
【公路歌单】加州/日落/夜晚/凉风##驾车 夜晚 ##7430351888##33050
一座港城，一部电影，一场大梦##影视原声 粤语 怀旧 ##111694083##47435
【戏腔专题】伶人入画，一生天涯##古风 华语 古典 ##83942307##786787
［自然纪］生命之律｜大自然的语言##轻音乐 安静 放松 ##7005467##345338
【K-POP】女王风范•冷艳入骨•自信优雅##韩语 流行 放松 ##4974065923##46541
超甜Rap | 听了就爱上的抓耳旋律##华语 流行 说唱 ##8150624883##17695
City Pop |都市慢生活指导手册##日语 流行 快乐 ##993524571##33058
少女向R&B：快乐鼓点 带点可愛甜蜜的味道##欧美 R&B/Soul 浪漫 ##9099444206##7245
「PB-R&B 」酒精音乐｜性感的迷离梦幻##R&B/Soul 性感 浪漫 ##8815861304##4859
日系/无前奏：开口即跪 一秒沦陷##日语 ACG 流行 ##2105681544##1451266
氛围R&B：或甜或欲 浪漫迷醉的鼓点氛围##欧美 流行 R&B/Soul ##8823966093##7683
华语R&B｜当代年轻人的耳机旋律##华语 流行 R&B/Soul ##2841383480##53220
R＆B慵懒小调|微醺 日落 浪漫.##R&B/Soul 下午茶 治愈 ##7819234097##13912
走路起风的尅泡「Kpop」##韩语 流行 ##7474688339##17751
『日语女声』就让我再次沉溺于这温柔大海##日语 感动 治愈 ##8727738955##4904
EA7抖腿车载硬曲 低音炮震撼低沉鼓点音浪##电子 驾车 夜晚 ##8728212638##820
慵懒欧美R&B:舒慢溺于沉醉##欧美 R&B/Soul 浪漫 ##8856013717##3080
【日系】嘬一口清酒，咧嘴一笑对人生##清晨 日语 乡村 ##5390780906##17724
R&B氛围丨万缕柔情 拂动心弦##华语 欧美 R&B/Soul ##8368945230##4235
这些声音里藏着故事（粤语男声篇）##粤语 怀旧 流行 ##914087134##16164
「Jazz hiphop」寻找向日葵气味的武士##爵士 浪漫 日语 ##8469097844##5576
欧美说唱//让人上瘾并沉迷的致命迷幻##欧美 说唱 兴奋 ##8480366497##6341
陶喆+方大同：不可抵挡的R&B魅力##华语 R&B/Soul 90后 ##9142031796##1378
放空指南 | 享受云间般的温柔轻浮##欧美 清新 治愈 ##7716181476##30811
欧美R&B || 慵懒旋律搭配成熟磁嗓##欧美 R&B/Soul 放松 ##8099807237##9202
R&B血型人の节奏布鲁斯 浪漫小屋##欧美 R&B/Soul 浪漫 ##8903810943##3969
时尚运动•必备节奏##运动 欧美 流行 ##101354498##521385
【运动健身】燃到爆的精神氮泵##运动 酒吧 兴奋 ##64945293##289719
国语R&B情歌精选：浪漫旋律之旅##华语 R&B/Soul 蓝调 ##8775729080##2204
微醺R&B：浪漫浸染 或丝般柔顺 或梦般性感##欧美 R&B/Soul 浪漫 ##8922614426##7488
音综封神live：顶级编唱震撼人心##华语 流行 综艺 ##8926488878##8004
他们只出过一张唱片，但足够精彩##华语 流行 怀旧 ##96148442##71193
高级感｜氛围感｜舒缓英文歌｜持续更新##欧美 学习 治愈 ##6993196007##19012
韩语KPOP合集｜墨|吒|娃|次|鲸|兔|芙|炽##韩语 流行 ##7473835899##11915
旋律R&B｜微醺 性感 浪漫氛围感##欧美 R&B/Soul 浪漫 ##8811546491##6587
「R&B入耳即醉1.0」放松心情 缓解焦虑##R&B/Soul 欧美 流行 ##7274227578##53701
清冷破碎感：沉溺于虚幻缥缈的梦境之中##欧美 孤独 伤感 ##7776105393##10660
欧美R&B||沉浸于丝滑复古的灵魂旋律.##欧美 R&B/Soul 浪漫 ##6841321530##13853
华语顶级治愈：神仙听了都沦陷##华语 治愈 工作 ##8760016412##12198
篮球名人堂御用单曲｜科神一路走好##欧美 流行 运动 ##130331313##196363
「卧室氛围感」慵懒舒适chill 惬意又浪漫゜##欧美 R&B/Soul 浪漫 ##8157963709##31998
评论过万的英文歌与潜力股##欧美 流行 榜单 ##75182300##2473248
R&B品味限定|柔醺迷情苦橙酒##R&B/Soul ##7726255680##9558
『英文R&B』微醺缥游在浪漫时空##R&B/Soul 流行 华语 ##8436954261##4003
旋律R&B｜梦幻、甜蜜、荡漾氛围的爱##欧美 夜晚 R&B/Soul ##7422454990##59740
神仙综艺live：教科书级别的现场##华语 流行 综艺 ##8760004461##5770
心动R&B：快乐鼓点 带点可愛甜蜜的味道##欧美 流行 R&B/Soul ##8734621991##11773
爱人的眼睛是第八大洋##流行 怀旧 思念 ##8134829342##42342
欧美R&B｜顶级旋律瞬间沦陷##R&B/Soul 放松 欧美 ##8802386865##5411
柔情R&B|迎着日落感受浪漫##R&B/Soul ##7726197820##10310
美学纯音：是浸透灵魂的宿命与破碎梦境##轻音乐 安静 孤独 ##8824767819##7298
【欧美风】霉霉/戳爷/比伯/萌德/断眉##欧美 ##2469559434##69130
KPop°前奏沦陷·沉溺在浪漫宇宙♡##韩语 流行 浪漫 ##8204733863##6464
氛围R&B：浪漫血型 R&B血型人的每日必听曲##欧美 R&B/Soul 流行 ##8656474505##9371
放飞心情 | 每天听三遍 拒绝焦虑内耗##欧美 流行 快乐 ##8891062775##2316
综艺《种地吧》禾伙人都爱听的歌##流行 治愈 ##9108058918##3814
神仙综艺：声生不息vs天赐的声音##华语 流行 综艺 ##8937026669##3408
“你应该是洒脱的 自由的 勇敢的”##欧美 流行 放松 ##8445348555##18855
浪漫R&B：玫瑰万千 去做风 狂热炽热##欧美 R&B/Soul 流行 ##8407539138##6692
『机车』摩旅、跑山骑行歌单##驾车 电子 欧美 ##5321116636##11847
微醺欧美：玫瑰沉溺晚霞色彩的海浪##欧美 学习 安静 ##7389092203##13832
【欧美】 拽姐出街 辣妹必备##欧美 夜晚 ##7375024960##16391
[晚安]轻音乐温柔缓解焦虑氛围助眠##轻音乐 夜晚 放松 ##7683513561##7276
午夜/傍晚时的背景歌曲/孤独感##夜晚 伤感 安静 ##5034896764##586
看封面就知道这曲有多硬##欧美 电子 驾车 ##7605001372##10182
欧美慵懒向｜ 独行的人总会遇到有趣的人##放松 流行 欧美 ##4894076787##100280
小众高级感：微醺R&B 慵懒暧昧 浪漫的味道##欧美 R&B/Soul 流行 ##8261355008##10852
浪漫&抒情高氛围感纯音乐|钢琴|小提琴##轻音乐 浪漫 下午茶 ##8185383528##7368
电量1%也听| 每一首都好听到出圈##华语 流行 00后 ##8250466506##9012
0.8x早就看清楚你了 只是不舍得而已##思念 孤独 流行 ##7384054044##124309
【Rap】开车听这些 交警都问你要歌名##欧美 说唱 驾车 ##7301594684##66408
韩语 | 温暖治愈的小甜歌 要开心哦。##韩语 治愈 流行 ##8849499311##709
工作耳机放党：办公也需要松弛平衡##华语 工作 网络歌曲 ##9471373420##1232
0.8x 我们都低估了时间的善变##华语 流行 伤感 ##5323071232##7098
综艺热歌：天赐的声音 中国好声音##华语 流行 综艺 ##9976571757##20
她像是含苞待放的花骨朵儿##说唱 华语 ##2326852397##46460
R&B♡保持清醒的灵魂 总会遇到契合的人##欧美 R&B/Soul 治愈 ##8457636764##7615
⁡欧美R&B丨涩气微醺缠绵氛围感##R&B/Soul 欧美 流行 ##2823286777##22856
单依纯 周深 张碧晨 任素汐 薛之谦##华语 流行 综艺 ##9676780891##21
南青乐队巡演曲目（不插电版）##摇滚 性感 ##8169903645##391
爱这一趟不变成仇人收不了手是吗##孤独 网络歌曲 ##8250692277##2485
车载DJ｜此生必驾 国道318川藏线##舞曲 旅行 驾车 ##9736826731##33
呼喊与细语，欧美古典电影精选##欧美 影视原声 经典 ##813645724##51674
257位西海岸说唱歌手精选##说唱 欧美 经典 ##83105064##86680
写作业时听的术力口捏ovo##学习 ACG 流行 ##8933332996##10483
华语R&B｜浪漫慵懒·相遇不只是场梦##华语 R&B/Soul 散步 ##10037612196##8
顶级音综：神级演唱震撼人心##华语 流行 综艺 ##9617557280##32
节奏控 | 神仙音律，瞬间开启心动模式##欧美 驾车 放松 ##2963717607##80963
宿命感/BE故事感/电影氛围/脑补场景码文BGM##浪漫 伤感 治愈 ##8772871899##23515
欧美系列|极致放空 找回自己##欧美 流行 放松 ##8399680947##6501
节奏控 | 那些超带感的英文歌##兴奋 流行 运动 ##2345048322##681373
R&B｜沉溺于慵懒声线中的撩人节奏##华语 欧美 R&B/Soul ##8369003731##14221
我是歌手历届金曲舞台金选！##华语 流行 综艺 ##10048905798##32
电影慰时光 | 华语怀旧文艺片精选##影视原声 经典 怀旧 ##490158454##63171
周深 单依纯 汪苏泷 毛不易##华语 流行 90后 ##9353468541##1799
韩系慵懒R&B：风月都好看 人间也浪漫##韩语 R&B/Soul 浪漫 ##9091595141##138
陈楚生神级舞台：再选一百次他都是冠军##华语 流行 90后 ##9182116322##1166
夏日多巴胺快乐氛围曲•欢快旋律##流行 快乐 欧美 ##8542903484##3722
摇滚｜向阳而生 像风一样自由##华语 摇滚 治愈 ##9670876229##35
华语神仙嗓：张碧晨 杨宗纬 汪苏泷 陈楚生##华语 流行 综艺 ##10033487202##11
那些年我们一起追过的台湾偶像剧##华语 怀旧 影视原声 ##9444595290##2316
喜欢蚊子战歌是我的宿命.##流行 治愈 伤感 ##9812688272##24
治愈纯音 | 让海风卷走烦恼##治愈 轻音乐 ##8271117999##18741
好听到炸的英文歌单！！！好歌单，不解释。##欧美 流行 世界音乐 ##2709554023##315073
『欧美旋律』温柔与慵懒交织的氤氲梦境##欧美 流行 放松 ##8457319040##733
快乐指南99% ：是草莓软糖味的韩语小甜歌##流行 快乐 韩语 ##9097862653##245
失眠飞行 ｜ 美丽的公主请听R&B ##流行 R&B/Soul 夜晚 ##8850835880##4001
夜店DJ舞曲，艾瑞巴蒂嗨起来##欧美 电子 驾车 ##9535983231##4
午后小憩：暖阳下静谧温存时光 ##欧美 放松 治愈 ##8258031246##187
0.8x 爱的多的人总先流眼泪##华语 流行 伤感 ##7084147602##5046
粤语 | 微醺chill的氛围感 惬意又浪漫。##粤语 流行 放松 ##9536759871##159
甜音来袭：嗅弥绕其身的心动恋气##华语 快乐 流行 ##8431010565##879
华语金曲 | 90后在时光中沉淀的经典老歌##华语 流行 90后 ##9502337000##128
Random丨听着就很快乐的英文歌##欧美 流行 快乐 ##2853788694##184159
经典粤语：致回不去的青春##粤语 经典 感动 ##9502669694##23
一些贝斯很不错的日摇##日语 摇滚 ##8838322710##2392
低沉鼓点，极致低音享受 「车载」##欧美 电子 驾车 ##9315211427##289
KPop°上班路上·轻松旋律·赶走焦虑♬##韩语 流行 放松 ##8558009535##4003
纯音乐 轻音乐 解压 学习 刷题 睡觉 御用##轻音乐 学习 夜晚 ##2520739691##2224364
实力歌手：张碧晨单依纯陈楚生郁可唯周深##华语 流行 综艺 ##9503581552##18
整个世界荒芜 我只听到我自己##治愈 流行 怀旧 ##6796631780##16770
欧美说唱藏宝阁『私人臻藏』##欧美 说唱 流行 ##8276779798##368
时光漫游｜过去的你完整了现在的我##华语 粤语 流行 ##10057565108##621
松弛指南｜在意识里过一生##华语 流行 说唱 ##9997878527##59
微醺暧昧氛围｜缱绻夜晚 柔情浪漫 沉醉其中##欧美 R&B/Soul 夜晚 ##9919968211##127
永劫无间火男战斗燃曲##游戏 00后 ##7478954559##971
旅行的风、尽情享受生命的美好与喜悦##流行 旅行 ##10038920903##73
城市漫游｜City walk自由律动 音乐充能站##欧美 流行 快乐 ##9100867116##729
性感高级慵懒风英文歌【持续更新】##欧美 夜晚 浪漫 ##2022042402##47797
欧美丨旋律控的极致享受！##欧美 流行 ##5393192213##220897
欧美优质hiphop 顶级唱腔和丝滑flow##欧美 说唱 兴奋 ##8236726038##64248
/刷题背书轻音乐/刷题必备轻松纯音乐##轻音乐 学习 安静 ##8880860165##587
中文DJ | 车载高速必备咚鼓版dj歌曲##华语 流行 驾车 ##9586930644##21
你闯进了我的镜头 我按下了消失##伤感 思念 网络歌曲 ##8702531981##8383
『欧美小众』生有热烈，藏与俗常##欧美 放松 快乐 ##8793174852##1468
神仙嗓音天花板：单依纯 徐佳莹 张碧晨##华语 流行 综艺 ##9848678870##6
Urban · 历届格莱美精选集##欧美 说唱 R&B/Soul ##2902128439##26727
治愈度1000%：单依纯 郁可唯 毛不易 周深##华语 流行 治愈 ##8837413655##6988
欧美小众| 惊艳世俗的极致氛围##欧美 浪漫 R&B/Soul ##7359306721##60429
节奏律动丨享受华丽-50s后炸裂##欧美 运动 流行 ##6949909481##3281
90后怀旧集丨Jay歌曲免费听 专属我们的回忆##华语 流行 翻唱 ##10003661442##8
天赐的声音：顶级实力派歌手##华语 流行 综艺 ##9334706614##6245
华语顶级live：狙击耳朵的神级现场##华语 流行 综艺 ##8926263827##1425
宝藏挖掘机|分享好音乐和金曲##华语 流行 伤感 ##7487805161##371101
单依纯张碧晨刘惜君郁可唯##流行 华语 感动 ##8899456168##5941
City pop | 梦回海浪拂过的昭和年代##日语 流行 ##7498269601##8799
凤凰传奇2024年演唱会：吉祥如意！##华语 流行 快乐 ##9553217803##105
日系治愈 | 微风轻轻起 我好喜欢你##日语 流行 ACG ##7490641838##18599
R＆B 氛围| 浪漫的微醺氛围##R&B/Soul 浪漫 ##8264726806##2126
万物可爱 | 春暖花开 最美人间四月天##韩语 流行 放松 ##9635317940##38
春日i人放空系 | 别无所求 只想被阳光晒透##放松 清新 治愈 ##9524315019##15
欧美治愈 风落在耳边 嘱咐你要热爱这个世界##欧美 流行 浪漫 ##9911347382##5
华语流行：温柔的风吹皱了晚霞的心##华语 流行 清晨 ##7487760322##24246
华语顶级女嗓live：张碧晨 单依纯 郁可唯##华语 流行 综艺 ##8833238437##5551
痛苦留下痕迹夜晚总会深陷梦魇##伤感 ##7523466442##942
华语 | 90后那些年MP3里的经典老歌##华语 流行 90后 ##9368161042##117
说唱与钢琴|风格碰撞下的完美融合##欧美 说唱 钢琴 ##9809258634##140
国外·Melody|【旋律说唱】耳膜兴奋剂##欧美 说唱 ##7070573082##21703
